code,tz_type,utc_offset,utc_dst_offset,tz_abbreviation,tz_dst_abbreviation,is_active
America/Belize,Canonical,UTC−06:00,UTC−06:00,CST,CST,true
America/Blanc-Sablon,Link,UTC−04:00,UTC−04:00,AST,AST,false
America/Boa_Vista,Canonical,UTC−04:00,UTC−04:00,-04,-04,true
America/Bogota,Canonical,UTC−05:00,UTC−05:00,-05,-05,true
America/Boise,Canonical,UTC−07:00,UTC−06:00,MST,MDT,true
America/Buenos_Aires,Link,UTC−03:00,UTC−03:00,-03,-03,true
America/Cambridge_Bay,Canonical,UTC−07:00,UTC−06:00,MST,MDT,true
America/Campo_Grande,Canonical,UTC−04:00,UTC−04:00,-04,-04,true
America/Cancun,Canonical,UTC−05:00,UTC−05:00,EST,EST,true
America/Caracas,Canonical,UTC−04:00,UTC−04:00,-04,-04,true
America/Catamarca,Link,UTC−03:00,UTC−03:00,-03,-03,true
America/Cayenne,Canonical,UTC−03:00,UTC−03:00,-03,-03,true
America/Cayman,Link,UTC−05:00,UTC−05:00,EST,EST,false
America/Chicago,Canonical,UTC−06:00,UTC−05:00,CST,CDT,true
America/Chihuahua,Canonical,UTC−06:00,UTC−06:00,CST,CST,true
America/Ciudad_Juarez,Canonical,UTC−07:00,UTC−06:00,MST,MDT,true
America/Coral_Harbour,Link,UTC−05:00,UTC−05:00,EST,EST,false
America/Cordoba,Link,UTC−03:00,UTC−03:00,-03,-03,true
America/Costa_Rica,Canonical,UTC−06:00,UTC−06:00,CST,CST,true
America/Creston,Link,UTC−07:00,UTC−07:00,MST,MST,false
America/Cuiaba,Canonical,UTC−04:00,UTC−04:00,-04,-04,true
America/Curacao,Link,UTC−04:00,UTC−04:00,AST,AST,false
America/Danmarkshavn,Canonical,UTC+00:00,UTC+00:00,GMT,GMT,true
America/Dawson,Canonical,UTC−07:00,UTC−07:00,MST,MST,true
America/Dawson_Creek,Canonical,UTC−07:00,UTC−07:00,MST,MST,true
America/Denver,Canonical,UTC−07:00,UTC−06:00,MST,MDT,true
America/Detroit,Canonical,UTC−05:00,UTC−04:00,EST,EDT,true
America/Dominica,Link,UTC−04:00,UTC−04:00,AST,AST,false
America/Edmonton,Canonical,UTC−07:00,UTC−06:00,MST,MDT,true
America/Eirunepe,Canonical,UTC−05:00,UTC−05:00,-05,-05,true
America/El_Salvador,Canonical,UTC−06:00,UTC−06:00,CST,CST,true
America/Ensenada,Link,UTC−08:00,UTC−07:00,PST,PDT,false
America/Fort_Nelson,Canonical,UTC−07:00,UTC−07:00,MST,MST,true
America/Fort_Wayne,Link,UTC−05:00,UTC−04:00,EST,EDT,true
America/Fortaleza,Canonical,UTC−03:00,UTC−03:00,-03,-03,true
America/Glace_Bay,Canonical,UTC−04:00,UTC−03:00,AST,ADT,true
America/Godthab,Link,UTC−02:00,UTC−01:00,-02,-01,true
America/Goose_Bay,Canonical,UTC−04:00,UTC−03:00,AST,ADT,true
America/Grand_Turk,Canonical,UTC−05:00,UTC−04:00,EST,EDT,true
America/Grenada,Link,UTC−04:00,UTC−04:00,AST,AST,false
America/Guadeloupe,Link,UTC−04:00,UTC−04:00,AST,AST,false
America/Guatemala,Canonical,UTC−06:00,UTC−06:00,CST,CST,true
America/Guayaquil,Canonical,UTC−05:00,UTC−05:00,-05,-05,true
America/Guyana,Canonical,UTC−04:00,UTC−04:00,-04,-04,true
America/Halifax,Canonical,UTC−04:00,UTC−03:00,AST,ADT,true
America/Havana,Canonical,UTC−05:00,UTC−04:00,CST,CDT,true
America/Hermosillo,Canonical,UTC−07:00,UTC−07:00,MST,MST,true
America/Indiana/Indianapolis,Canonical,UTC−05:00,UTC−04:00,EST,EDT,true
America/Indiana/Knox,Canonical,UTC−06:00,UTC−05:00,CST,CDT,true
America/Indiana/Marengo,Canonical,UTC−05:00,UTC−04:00,EST,EDT,true
America/Indiana/Petersburg,Canonical,UTC−05:00,UTC−04:00,EST,EDT,true
America/Indiana/Tell_City,Canonical,UTC−06:00,UTC−05:00,CST,CDT,true
America/Indiana/Vevay,Canonical,UTC−05:00,UTC−04:00,EST,EDT,true
America/Indiana/Vincennes,Canonical,UTC−05:00,UTC−04:00,EST,EDT,true
America/Indiana/Winamac,Canonical,UTC−05:00,UTC−04:00,EST,EDT,true
America/Indianapolis,Link,UTC−05:00,UTC−04:00,EST,EDT,true
America/Inuvik,Canonical,UTC−07:00,UTC−06:00,MST,MDT,true
America/Iqaluit,Canonical,UTC−05:00,UTC−04:00,EST,EDT,true
America/Jamaica,Canonical,UTC−05:00,UTC−05:00,EST,EST,true
America/Jujuy,Link,UTC−03:00,UTC−03:00,-03,-03,true
America/Juneau,Canonical,UTC−09:00,UTC−08:00,AKST,AKDT,true
America/Kentucky/Louisville,Canonical,UTC−05:00,UTC−04:00,EST,EDT,true
America/Kentucky/Monticello,Canonical,UTC−05:00,UTC−04:00,EST,EDT,true
America/Knox_IN,Link,UTC−06:00,UTC−05:00,CST,CDT,true
America/Kralendijk,Link,UTC−04:00,UTC−04:00,AST,AST,true
America/La_Paz,Canonical,UTC−04:00,UTC−04:00,-04,-04,true
America/Lima,Canonical,UTC−05:00,UTC−05:00,-05,-05,true
America/Los_Angeles,Canonical,UTC−08:00,UTC−07:00,PST,PDT,true
America/Louisville,Link,UTC−05:00,UTC−04:00,EST,EDT,true
America/Lower_Princes,Link,UTC−04:00,UTC−04:00,AST,AST,true
America/Maceio,Canonical,UTC−03:00,UTC−03:00,-03,-03,true
America/Managua,Canonical,UTC−06:00,UTC−06:00,CST,CST,true
America/Manaus,Canonical,UTC−04:00,UTC−04:00,-04,-04,true
America/Marigot,Link,UTC−04:00,UTC−04:00,AST,AST,true
America/Martinique,Canonical,UTC−04:00,UTC−04:00,AST,AST,true
America/Matamoros,Canonical,UTC−06:00,UTC−05:00,CST,CDT,true
America/Mazatlan,Canonical,UTC−07:00,UTC−07:00,MST,MST,true
America/Mendoza,Link,UTC−03:00,UTC−03:00,-03,-03,true
America/Menominee,Canonical,UTC−06:00,UTC−05:00,CST,CDT,true
America/Merida,Canonical,UTC−06:00,UTC−06:00,CST,CST,true
America/Metlakatla,Canonical,UTC−09:00,UTC−08:00,AKST,AKDT,true
America/Mexico_City,Canonical,UTC−06:00,UTC−06:00,CST,CST,true
America/Miquelon,Canonical,UTC−03:00,UTC−02:00,-03,-02,true
America/Moncton,Canonical,UTC−04:00,UTC−03:00,AST,ADT,true
America/Monterrey,Canonical,UTC−06:00,UTC−06:00,CST,CST,true
America/Montevideo,Canonical,UTC−03:00,UTC−03:00,-03,-03,true
America/Montreal,Link,UTC−05:00,UTC−04:00,EST,EDT,false
America/Montserrat,Link,UTC−04:00,UTC−04:00,AST,AST,false
America/Nassau,Link,UTC−05:00,UTC−04:00,EST,EDT,false
America/New_York,Canonical,UTC−05:00,UTC−04:00,EST,EDT,true
America/Nipigon,Link,UTC−05:00,UTC−04:00,EST,EDT,false
America/Nome,Canonical,UTC−09:00,UTC−08:00,AKST,AKDT,true
America/Noronha,Canonical,UTC−02:00,UTC−02:00,-02,-02,true
America/North_Dakota/Beulah,Canonical,UTC−06:00,UTC−05:00,CST,CDT,true
America/North_Dakota/Center,Canonical,UTC−06:00,UTC−05:00,CST,CDT,true
America/North_Dakota/New_Salem,Canonical,UTC−06:00,UTC−05:00,CST,CDT,true
America/Nuuk,Canonical,UTC−02:00,UTC−01:00,-02,-01,true
America/Ojinaga,Canonical,UTC−06:00,UTC−05:00,CST,CDT,true
America/Panama,Canonical,UTC−05:00,UTC−05:00,EST,EST,true
America/Pangnirtung,Link,UTC−05:00,UTC−04:00,EST,EDT,false
America/Paramaribo,Canonical,UTC−03:00,UTC−03:00,-03,-03,true
America/Phoenix,Canonical,UTC−07:00,UTC−07:00,MST,MST,true
America/Port-au-Prince,Canonical,UTC−05:00,UTC−04:00,EST,EDT,true
America/Port_of_Spain,Link,UTC−04:00,UTC−04:00,AST,AST,false
America/Porto_Acre,Link,UTC−05:00,UTC−05:00,-05,-05,true
America/Porto_Velho,Canonical,UTC−04:00,UTC−04:00,-04,-04,true
America/Puerto_Rico,Canonical,UTC−04:00,UTC−04:00,AST,AST,true
America/Punta_Arenas,Canonical,UTC−03:00,UTC−03:00,-03,-03,true
America/Rainy_River,Link,UTC−06:00,UTC−05:00,CST,CDT,false
America/Rankin_Inlet,Canonical,UTC−06:00,UTC−05:00,CST,CDT,true
America/Recife,Canonical,UTC−03:00,UTC−03:00,-03,-03,true
America/Regina,Canonical,UTC−06:00,UTC−06:00,CST,CST,true
America/Resolute,Canonical,UTC−06:00,UTC−05:00,CST,CDT,true
America/Rio_Branco,Canonical,UTC−05:00,UTC−05:00,-05,-05,true
America/Rosario,Link,UTC−03:00,UTC−03:00,-03,-03,false
America/Santa_Isabel,Link,UTC−08:00,UTC−07:00,PST,PDT,true
America/Santarem,Canonical,UTC−03:00,UTC−03:00,-03,-03,true
America/Santiago,Canonical,UTC−04:00,UTC−03:00,-04,-03,true
America/Santo_Domingo,Canonical,UTC−04:00,UTC−04:00,AST,AST,true
America/Sao_Paulo,Canonical,UTC−03:00,UTC−03:00,-03,-03,true
America/Scoresbysund,Canonical,UTC−01:00,UTC−01:00,-01,-01,true
America/Shiprock,Link,UTC−07:00,UTC−06:00,MST,MDT,true
America/Sitka,Canonical,UTC−09:00,UTC−08:00,AKST,AKDT,true
America/St_Barthelemy,Link,UTC−04:00,UTC−04:00,AST,AST,true
America/St_Johns,Canonical,UTC−03:30,UTC−02:30,NST,NDT,true
America/St_Kitts,Link,UTC−04:00,UTC−04:00,AST,AST,false
America/St_Lucia,Link,UTC−04:00,UTC−04:00,AST,AST,false
America/St_Thomas,Link,UTC−04:00,UTC−04:00,AST,AST,false
America/St_Vincent,Link,UTC−04:00,UTC−04:00,AST,AST,false
America/Swift_Current,Canonical,UTC−06:00,UTC−06:00,CST,CST,true
America/Tegucigalpa,Canonical,UTC−06:00,UTC−06:00,CST,CST,true
America/Thule,Canonical,UTC−04:00,UTC−03:00,AST,ADT,true
America/Thunder_Bay,Link,UTC−05:00,UTC−04:00,EST,EDT,false
America/Tijuana,Canonical,UTC−08:00,UTC−07:00,PST,PDT,true
America/Toronto,Canonical,UTC−05:00,UTC−04:00,EST,EDT,true
America/Tortola,Link,UTC−04:00,UTC−04:00,AST,AST,false
America/Vancouver,Canonical,UTC−08:00,UTC−07:00,PST,PDT,true
America/Virgin,Link,UTC−04:00,UTC−04:00,AST,AST,true
America/Whitehorse,Canonical,UTC−07:00,UTC−07:00,MST,MST,true
America/Winnipeg,Canonical,UTC−06:00,UTC−05:00,CST,CDT,true
America/Yakutat,Canonical,UTC−09:00,UTC−08:00,AKST,AKDT,true
America/Yellowknife,Link,UTC−07:00,UTC−06:00,MST,MDT,false
Antarctica/Casey,Canonical,UTC+08:00,UTC+08:00,+08,+08,true
Antarctica/Davis,Canonical,UTC+07:00,UTC+07:00,+07,+07,true
