code,tz_type,utc_offset,utc_dst_offset,tz_abbreviation,tz_dst_abbreviation,is_active
Australia/Hobart,Canonical,UTC+10:00,UTC+11:00,AEST,AEDT,true
Australia/LHI,Link,UTC+10:30,UTC+11:00,+1030,+11,true
Australia/Lindeman,Canonical,UTC+10:00,UTC+10:00,AEST,AEST,true
Australia/Lord_Howe,Canonical,UTC+10:30,UTC+11:00,+1030,+11,true
Australia/Melbourne,Canonical,UTC+10:00,UTC+11:00,AEST,AEDT,true
Australia/North,Link,UTC+09:30,UTC+09:30,ACST,ACST,true
Australia/NSW,Link,UTC+10:00,UTC+11:00,AEST,AEDT,true
Australia/Perth,Canonical,UTC+08:00,UTC+08:00,AWST,AWST,true
Australia/Queensland,Link,UTC+10:00,UTC+10:00,AEST,AEST,true
Australia/South,Link,UTC+09:30,UTC+10:30,ACST,ACDT,true
Australia/Sydney,Canonical,UTC+10:00,UTC+11:00,AEST,AEDT,true
Australia/Tasmania,Link,UTC+10:00,UTC+11:00,AEST,AEDT,true
Australia/Victoria,Link,UTC+10:00,UTC+11:00,AEST,AEDT,true
Australia/West,Link,UTC+08:00,UTC+08:00,AWST,AWST,true
Australia/Yancowinna,Link,UTC+09:30,UTC+10:30,ACST,ACDT,true
Brazil/Acre,Link,UTC−05:00,UTC−05:00,-05,-05,true
Brazil/DeNoronha,Link,UTC−02:00,UTC−02:00,-02,-02,true
Brazil/East,Link,UTC−03:00,UTC−03:00,-03,-03,true
Brazil/West,Link,UTC−04:00,UTC−04:00,-04,-04,true
Canada/Atlantic,Link,UTC−04:00,UTC−03:00,AST,ADT,true
Canada/Central,Link,UTC−06:00,UTC−05:00,CST,CDT,true
Canada/Eastern,Link,UTC−05:00,UTC−04:00,EST,EDT,true
Canada/Mountain,Link,UTC−07:00,UTC−06:00,MST,MDT,true
Canada/Newfoundland,Link,UTC−03:30,UTC−02:30,NST,NDT,true
Canada/Pacific,Link,UTC−08:00,UTC−07:00,PST,PDT,true
Canada/Saskatchewan,Link,UTC−06:00,UTC−06:00,CST,CST,true
Canada/Yukon,Link,UTC−07:00,UTC−07:00,MST,MST,true
CET,Canonical,UTC+01:00,UTC+02:00,CET,CEST,true
Chile/Continental,Link,UTC−04:00,UTC−03:00,-04,-03,true
Chile/EasterIsland,Link,UTC−06:00,UTC−05:00,-06,-05,true
CST6CDT,Canonical,UTC−06:00,UTC−05:00,CST,CDT,true
Cuba,Link,UTC−05:00,UTC−04:00,CST,CDT,true
EET,Canonical,UTC+02:00,UTC+03:00,EET,EEST,true
Egypt,Link,UTC+02:00,UTC+03:00,EET,EEST,true
Eire,Link,UTC+01:00,UTC+00:00,IST,GMT,true
EST,Canonical,UTC−05:00,UTC−05:00,EST,EST,true
EST5EDT,Canonical,UTC−05:00,UTC−04:00,EST,EDT,true
Etc/GMT,Canonical,UTC+00:00,UTC+00:00,GMT,GMT,true
Etc/GMT+0,Link,UTC+00:00,UTC+00:00,GMT,GMT,true
Etc/GMT+1,Canonical,UTC−01:00,UTC−01:00,-01,-01,true
Etc/GMT+10,Canonical,UTC−10:00,UTC−10:00,-10,-10,true
Etc/GMT+11,Canonical,UTC−11:00,UTC−11:00,-11,-11,true
Etc/GMT+12,Canonical,UTC−12:00,UTC−12:00,-12,-12,true
Etc/GMT+2,Canonical,UTC−02:00,UTC−02:00,-02,-02,true
Etc/GMT+3,Canonical,UTC−03:00,UTC−03:00,-03,-03,true
Etc/GMT+4,Canonical,UTC−04:00,UTC−04:00,-04,-04,true
Etc/GMT+5,Canonical,UTC−05:00,UTC−05:00,-05,-05,true
Etc/GMT+6,Canonical,UTC−06:00,UTC−06:00,-06,-06,true
Etc/GMT+7,Canonical,UTC−07:00,UTC−07:00,-07,-07,true
Etc/GMT+8,Canonical,UTC−08:00,UTC−08:00,-08,-08,true
Etc/GMT+9,Canonical,UTC−09:00,UTC−09:00,-09,-09,true
Etc/GMT-0,Link,UTC+00:00,UTC+00:00,GMT,GMT,true
Etc/GMT-1,Canonical,UTC+01:00,UTC+01:00,+01,+01,true
Etc/GMT-10,Canonical,UTC+10:00,UTC+10:00,+10,+10,true
Etc/GMT-11,Canonical,UTC+11:00,UTC+11:00,+11,+11,true
Etc/GMT-12,Canonical,UTC+12:00,UTC+12:00,+12,+12,true
Etc/GMT-13,Canonical,UTC+13:00,UTC+13:00,+13,+13,true
Etc/GMT-14,Canonical,UTC+14:00,UTC+14:00,+14,+14,true
Etc/GMT-2,Canonical,UTC+02:00,UTC+02:00,+02,+02,true
Etc/GMT-3,Canonical,UTC+03:00,UTC+03:00,+03,+03,true
Etc/GMT-4,Canonical,UTC+04:00,UTC+04:00,+04,+04,true
Etc/GMT-5,Canonical,UTC+05:00,UTC+05:00,+05,+05,true
Etc/GMT-6,Canonical,UTC+06:00,UTC+06:00,+06,+06,true
Etc/GMT-7,Canonical,UTC+07:00,UTC+07:00,+07,+07,true
Etc/GMT-8,Canonical,UTC+08:00,UTC+08:00,+08,+08,true
Etc/GMT-9,Canonical,UTC+09:00,UTC+09:00,+09,+09,true
Etc/GMT0,Link,UTC+00:00,UTC+00:00,GMT,GMT,true
Etc/Greenwich,Link,UTC+00:00,UTC+00:00,GMT,GMT,true
Etc/UCT,Link,UTC+00:00,UTC+00:00,UTC,UTC,true
Etc/Universal,Link,UTC+00:00,UTC+00:00,UTC,UTC,true
Etc/UTC,Canonical,UTC+00:00,UTC+00:00,UTC,UTC,true
Etc/Zulu,Link,UTC+00:00,UTC+00:00,UTC,UTC,true
Europe/Amsterdam,Link,UTC+01:00,UTC+02:00,CET,CEST,false
Europe/Andorra,Canonical,UTC+01:00,UTC+02:00,CET,CEST,true
Europe/Astrakhan,Canonical,UTC+04:00,UTC+04:00,+04,+04,true
Europe/Athens,Canonical,UTC+02:00,UTC+03:00,EET,EEST,true
Europe/Belfast,Link,UTC+00:00,UTC+01:00,GMT,BST,false
Europe/Belgrade,Canonical,UTC+01:00,UTC+02:00,CET,CEST,true
Europe/Berlin,Canonical,UTC+01:00,UTC+02:00,CET,CEST,true
Europe/Bratislava,Link,UTC+01:00,UTC+02:00,CET,CEST,true
Europe/Brussels,Canonical,UTC+01:00,UTC+02:00,CET,CEST,true
Europe/Bucharest,Canonical,UTC+02:00,UTC+03:00,EET,EEST,true
Europe/Budapest,Canonical,UTC+01:00,UTC+02:00,CET,CEST,true
Europe/Busingen,Link,UTC+01:00,UTC+02:00,CET,CEST,true
Europe/Chisinau,Canonical,UTC+02:00,UTC+03:00,EET,EEST,true
Europe/Copenhagen,Link,UTC+01:00,UTC+02:00,CET,CEST,false
Europe/Dublin,Canonical,UTC+01:00,UTC+00:00,IST,GMT,true
Europe/Gibraltar,Canonical,UTC+01:00,UTC+02:00,CET,CEST,true
Europe/Guernsey,Link,UTC+00:00,UTC+01:00,GMT,BST,false
Europe/Helsinki,Canonical,UTC+02:00,UTC+03:00,EET,EEST,true
Europe/Isle_of_Man,Link,UTC+00:00,UTC+01:00,GMT,BST,false
Europe/Istanbul,Canonical,UTC+03:00,UTC+03:00,+03,+03,true
Europe/Jersey,Link,UTC+00:00,UTC+01:00,GMT,BST,false
Europe/Kaliningrad,Canonical,UTC+02:00,UTC+02:00,EET,EET,true
Europe/Kiev,Link,UTC+02:00,UTC+03:00,EET,EEST,true
Europe/Kirov,Canonical,UTC+03:00,UTC+03:00,MSK,MSK,true
Europe/Kyiv,Canonical,UTC+02:00,UTC+03:00,EET,EEST,true
Europe/Lisbon,Canonical,UTC+00:00,UTC+01:00,WET,WEST,true
Europe/Ljubljana,Link,UTC+01:00,UTC+02:00,CET,CEST,false
Europe/London,Canonical,UTC+00:00,UTC+01:00,GMT,BST,true
Europe/Luxembourg,Link,UTC+01:00,UTC+02:00,CET,CEST,false
Europe/Madrid,Canonical,UTC+01:00,UTC+02:00,CET,CEST,true
Europe/Malta,Canonical,UTC+01:00,UTC+02:00,CET,CEST,true
Europe/Mariehamn,Link,UTC+02:00,UTC+03:00,EET,EEST,true
Europe/Minsk,Canonical,UTC+03:00,UTC+03:00,+03,+03,true
Europe/Monaco,Link,UTC+01:00,UTC+02:00,CET,CEST,false
Europe/Moscow,Canonical,UTC+03:00,UTC+03:00,MSK,MSK,true
Europe/Nicosia,Link,UTC+02:00,UTC+03:00,EET,EEST,true
Europe/Oslo,Link,UTC+01:00,UTC+02:00,CET,CEST,false
Europe/Paris,Canonical,UTC+01:00,UTC+02:00,CET,CEST,true
Europe/Podgorica,Link,UTC+01:00,UTC+02:00,CET,CEST,true
Europe/Prague,Canonical,UTC+01:00,UTC+02:00,CET,CEST,true
Europe/Riga,Canonical,UTC+02:00,UTC+03:00,EET,EEST,true
Europe/Rome,Canonical,UTC+01:00,UTC+02:00,CET,CEST,true
Europe/Samara,Canonical,UTC+04:00,UTC+04:00,+04,+04,true
Europe/San_Marino,Link,UTC+01:00,UTC+02:00,CET,CEST,true
Europe/Sarajevo,Link,UTC+01:00,UTC+02:00,CET,CEST,false
Europe/Saratov,Canonical,UTC+04:00,UTC+04:00,+04,+04,true
Europe/Simferopol,Canonical,UTC+03:00,UTC+03:00,MSK,MSK,true
Europe/Skopje,Link,UTC+01:00,UTC+02:00,CET,CEST,false
Europe/Sofia,Canonical,UTC+02:00,UTC+03:00,EET,EEST,true
Europe/Stockholm,Link,UTC+01:00,UTC+02:00,CET,CEST,false
Europe/Tallinn,Canonical,UTC+02:00,UTC+03:00,EET,EEST,true
Europe/Tirane,Canonical,UTC+01:00,UTC+02:00,CET,CEST,true
Europe/Tiraspol,Link,UTC+02:00,UTC+03:00,EET,EEST,false
Europe/Ulyanovsk,Canonical,UTC+04:00,UTC+04:00,+04,+04,true
Europe/Uzhgorod,Link,UTC+02:00,UTC+03:00,EET,EEST,false
Europe/Vaduz,Link,UTC+01:00,UTC+02:00,CET,CEST,false
Europe/Vatican,Link,UTC+01:00,UTC+02:00,CET,CEST,true
Europe/Vienna,Canonical,UTC+01:00,UTC+02:00,CET,CEST,true
Europe/Vilnius,Canonical,UTC+02:00,UTC+03:00,EET,EEST,true
Europe/Volgograd,Canonical,UTC+03:00,UTC+03:00,MSK,MSK,true
Europe/Warsaw,Canonical,UTC+01:00,UTC+02:00,CET,CEST,true
Europe/Zagreb,Link,UTC+01:00,UTC+02:00,CET,CEST,false
Europe/Zaporozhye,Link,UTC+02:00,UTC+03:00,EET,EEST,false
Europe/Zurich,Canonical,UTC+01:00,UTC+02:00,CET,CEST,true
Factory,Canonical,UTC+00:00,UTC+00:00,-00,-00,true
GB,Link,UTC+00:00,UTC+01:00,GMT,BST,true
GB-Eire,Link,UTC+00:00,UTC+01:00,GMT,BST,true
GMT,Link,UTC+00:00,UTC+00:00,GMT,GMT,true
GMT+0,Link,UTC+00:00,UTC+00:00,GMT,GMT,true
GMT-0,Link,UTC+00:00,UTC+00:00,GMT,GMT,true
GMT0,Link,UTC+00:00,UTC+00:00,GMT,GMT,true
Greenwich,Link,UTC+00:00,UTC+00:00,GMT,GMT,true
Hongkong,Link,UTC+08:00,UTC+08:00,HKT,HKT,true
HST,Canonical,UTC−10:00,UTC−10:00,HST,HST,true
Iceland,Link,UTC+00:00,UTC+00:00,GMT,GMT,true
Indian/Antananarivo,Link,UTC+03:00,UTC+03:00,EAT,EAT,false
Indian/Chagos,Canonical,UTC+06:00,UTC+06:00,+06,+06,true
Indian/Christmas,Link,UTC+07:00,UTC+07:00,+07,+07,false
Indian/Cocos,Link,UTC+06:30,UTC+06:30,+0630,+0630,false
Indian/Comoro,Link,UTC+03:00,UTC+03:00,EAT,EAT,false
Indian/Kerguelen,Link,UTC+05:00,UTC+05:00,+05,+05,false
Indian/Mahe,Link,UTC+04:00,UTC+04:00,+04,+04,false
Indian/Maldives,Canonical,UTC+05:00,UTC+05:00,+05,+05,true
Indian/Mauritius,Canonical,UTC+04:00,UTC+04:00,+04,+04,true
Indian/Mayotte,Link,UTC+03:00,UTC+03:00,EAT,EAT,false
Indian/Reunion,Link,UTC+04:00,UTC+04:00,+04,+04,false
Iran,Link,UTC+03:30,UTC+03:30,+0330,+0330,true
Israel,Link,UTC+02:00,UTC+03:00,IST,IDT,true
Jamaica,Link,UTC−05:00,UTC−05:00,EST,EST,true
Japan,Link,UTC+09:00,UTC+09:00,JST,JST,true
Kwajalein,Link,UTC+12:00,UTC+12:00,+12,+12,true
Libya,Link,UTC+02:00,UTC+02:00,EET,EET,true
MET,Canonical,UTC+01:00,UTC+02:00,MET,MEST,true
Mexico/BajaNorte,Link,UTC−08:00,UTC−07:00,PST,PDT,true
Mexico/BajaSur,Link,UTC−07:00,UTC−07:00,MST,MST,true
Mexico/General,Link,UTC−06:00,UTC−06:00,CST,CST,true
MST,Canonical,UTC−07:00,UTC−07:00,MST,MST,true
MST7MDT,Canonical,UTC−07:00,UTC−06:00,MST,MDT,true
Navajo,Link,UTC−07:00,UTC−06:00,MST,MDT,true
NZ,Link,UTC+12:00,UTC+13:00,NZST,NZDT,true
NZ-CHAT,Link,UTC+12:45,UTC+13:45,+1245,+1345,true
Pacific/Apia,Canonical,UTC+13:00,UTC+13:00,+13,+13,true
Pacific/Auckland,Canonical,UTC+12:00,UTC+13:00,NZST,NZDT,true
Pacific/Bougainville,Canonical,UTC+11:00,UTC+11:00,+11,+11,true
Pacific/Chatham,Canonical,UTC+12:45,UTC+13:45,+1245,+1345,true
Pacific/Chuuk,Link,UTC+10:00,UTC+10:00,+10,+10,false
Pacific/Easter,Canonical,UTC−06:00,UTC−05:00,-06,-05,true
Pacific/Efate,Canonical,UTC+11:00,UTC+11:00,+11,+11,true
Pacific/Enderbury,Link,UTC+13:00,UTC+13:00,+13,+13,false
Pacific/Fakaofo,Canonical,UTC+13:00,UTC+13:00,+13,+13,true
Pacific/Fiji,Canonical,UTC+12:00,UTC+12:00,+12,+12,true
Pacific/Funafuti,Link,UTC+12:00,UTC+12:00,+12,+12,false
Pacific/Galapagos,Canonical,UTC−06:00,UTC−06:00,-06,-06,true
Pacific/Gambier,Canonical,UTC−09:00,UTC−09:00,-09,-09,true
Pacific/Guadalcanal,Canonical,UTC+11:00,UTC+11:00,+11,+11,true
Pacific/Guam,Canonical,UTC+10:00,UTC+10:00,ChST,ChST,true
Pacific/Honolulu,Canonical,UTC−10:00,UTC−10:00,HST,HST,true
Pacific/Johnston,Link,UTC−10:00,UTC−10:00,HST,HST,false
Pacific/Kanton,Canonical,UTC+13:00,UTC+13:00,+13,+13,true
Pacific/Kiritimati,Canonical,UTC+14:00,UTC+14:00,+14,+14,true
Pacific/Kosrae,Canonical,UTC+11:00,UTC+11:00,+11,+11,true
Pacific/Kwajalein,Canonical,UTC+12:00,UTC+12:00,+12,+12,true
Pacific/Majuro,Link,UTC+12:00,UTC+12:00,+12,+12,false
Pacific/Marquesas,Canonical,UTC−09:30,UTC−09:30,-0930,-0930,true
Pacific/Midway,Link,UTC−11:00,UTC−11:00,SST,SST,false
Pacific/Nauru,Canonical,UTC+12:00,UTC+12:00,+12,+12,true
Pacific/Niue,Canonical,UTC−11:00,UTC−11:00,-11,-11,true
Pacific/Norfolk,Canonical,UTC+11:00,UTC+12:00,+11,+12,true
Pacific/Noumea,Canonical,UTC+11:00,UTC+11:00,+11,+11,true
Pacific/Pago_Pago,Canonical,UTC−11:00,UTC−11:00,SST,SST,true
Pacific/Palau,Canonical,UTC+09:00,UTC+09:00,+09,+09,true
Pacific/Pitcairn,Canonical,UTC−08:00,UTC−08:00,-08,-08,true
Pacific/Pohnpei,Link,UTC+11:00,UTC+11:00,+11,+11,false
Pacific/Ponape,Link,UTC+11:00,UTC+11:00,+11,+11,true
Pacific/Port_Moresby,Canonical,UTC+10:00,UTC+10:00,+10,+10,true
Pacific/Rarotonga,Canonical,UTC−10:00,UTC−10:00,-10,-10,true
Pacific/Saipan,Link,UTC+10:00,UTC+10:00,ChST,ChST,false
Pacific/Samoa,Link,UTC−11:00,UTC−11:00,SST,SST,true
Pacific/Tahiti,Canonical,UTC−10:00,UTC−10:00,-10,-10,true
Pacific/Tarawa,Canonical,UTC+12:00,UTC+12:00,+12,+12,true
Pacific/Tongatapu,Canonical,UTC+13:00,UTC+13:00,+13,+13,true
Pacific/Truk,Link,UTC+10:00,UTC+10:00,+10,+10,true
Pacific/Wake,Link,UTC+12:00,UTC+12:00,+12,+12,false
Pacific/Wallis,Link,UTC+12:00,UTC+12:00,+12,+12,false
Pacific/Yap,Link,UTC+10:00,UTC+10:00,+10,+10,true
Poland,Link,UTC+01:00,UTC+02:00,CET,CEST,true
Portugal,Link,UTC+00:00,UTC+01:00,WET,WEST,true
PRC,Link,UTC+08:00,UTC+08:00,CST,CST,true
PST8PDT,Canonical,UTC−08:00,UTC−07:00,PST,PDT,true
ROC,Link,UTC+08:00,UTC+08:00,CST,CST,true
ROK,Link,UTC+09:00,UTC+09:00,KST,KST,true
Singapore,Link,UTC+08:00,UTC+08:00,+08,+08,true
Turkey,Link,UTC+03:00,UTC+03:00,+03,+03,true
UCT,Link,UTC+00:00,UTC+00:00,UTC,UTC,true
Universal,Link,UTC+00:00,UTC+00:00,UTC,UTC,true
US/Alaska,Link,UTC−09:00,UTC−08:00,AKST,AKDT,true
US/Aleutian,Link,UTC−10:00,UTC−09:00,HST,HDT,true
US/Arizona,Link,UTC−07:00,UTC−07:00,MST,MST,true
US/Central,Link,UTC−06:00,UTC−05:00,CST,CDT,true
US/East-Indiana,Link,UTC−05:00,UTC−04:00,EST,EDT,true
US/Eastern,Link,UTC−05:00,UTC−04:00,EST,EDT,true
US/Hawaii,Link,UTC−10:00,UTC−10:00,HST,HST,true
US/Indiana-Starke,Link,UTC−06:00,UTC−05:00,CST,CDT,true
US/Michigan,Link,UTC−05:00,UTC−04:00,EST,EDT,true
US/Mountain,Link,UTC−07:00,UTC−06:00,MST,MDT,true
US/Pacific,Link,UTC−08:00,UTC−07:00,PST,PDT,true
US/Samoa,Link,UTC−11:00,UTC−11:00,SST,SST,true
UTC,Link,UTC+00:00,UTC+00:00,UTC,UTC,true
W-SU,Link,UTC+03:00,UTC+03:00,MSK,MSK,true
WET,Canonical,UTC+00:00,UTC+01:00,WET,WEST,true
Zulu,Link,UTC+00:00,UTC+00:00,UTC,UTC,true
